Data,Filme,Captura,Termino,Link
10-07-2026,Where Is the Friend’s House?,07:21,08:26,https://www.criterionchannel.com/where-is-the-friend-s-house
10-07-2026,Where Is the Friend’s House?,08:02,08:26,https://www.criterionchannel.com/where-is-the-friend-s-house
10-07-2026,Jane B. par Agnès V.,09:02,10:05,https://www.criterionchannel.com/jane-b-par-agnes-v
10-07-2026,Jane B. par Agnès V.,10:02,10:05,https://www.criterionchannel.com/jane-b-par-agnes-v
10-07-2026,The Spirit of ’45,10:09,11:43,https://www.criterionchannel.com/the-spirit-of-45
10-07-2026,The Spirit of ’45,11:02,11:44,https://www.criterionchannel.com/the-spirit-of-45
10-07-2026,Ornette: Made in America,12:02,13:02,https://www.criterionchannel.com/ornette-made-in-america
10-07-2026,Young and Innocent,13:02,14:25,https://www.criterionchannel.com/young-and-innocent
10-07-2026,Young and Innocent,13:23,14:25,https://www.criterionchannel.com/young-and-innocent
10-07-2026,Young and Innocent,14:02,14:25,https://www.criterionchannel.com/young-and-innocent
10-07-2026,Emotion,15:02,15:05,https://www.criterionchannel.com/emotion
10-07-2026,The 400 Blows,15:21,16:45,https://www.criterionchannel.com/the-400-blows
10-07-2026,The 400 Blows,16:01,16:44,https://www.criterionchannel.com/the-400-blows
10-07-2026,L’enfance nue,17:02,18:08,https://www.criterionchannel.com/l-enfance-nue
10-07-2026,L’enfance nue,17:20,18:08,https://www.criterionchannel.com/l-enfance-nue
10-07-2026,L’enfance nue,18:02,18:08,https://www.criterionchannel.com/l-enfance-nue
10-07-2026,Pigs and Battleships,18:59,19:57,https://www.criterionchannel.com/pigs-and-battleships
10-07-2026,Pigs and Battleships,19:02,19:57,https://www.criterionchannel.com/pigs-and-battleships
10-07-2026,The Taking of Power by Louis XIV,20:02,21:31,https://www.criterionchannel.com/the-taking-of-power-by-louis-xiv
10-07-2026,The Taking of Power by Louis XIV,20:03,21:31,https://www.criterionchannel.com/the-taking-of-power-by-louis-xiv
10-07-2026,The Taking of Power by Louis XIV,21:02,21:31,https://www.criterionchannel.com/the-taking-of-power-by-louis-xiv
10-07-2026,Vivre sa vie,22:02,22:55,https://www.criterionchannel.com/vivre-sa-vie
10-07-2026,The Exterminating Angel,23:02,00:29,https://www.criterionchannel.com/the-exterminating-angel
10-07-2026,The Exterminating Angel,23:23,00:28,https://www.criterionchannel.com/the-exterminating-angel
11-07-2026,The Exterminating Angel,00:01,00:28,https://www.criterionchannel.com/the-exterminating-angel
11-07-2026,Seven Samurai,01:02,03:56,https://www.criterionchannel.com/seven-samurai
11-07-2026,Seven Samurai,02:01,03:55,https://www.criterionchannel.com/seven-samurai
11-07-2026,Seven Samurai,02:37,03:55,https://www.criterionchannel.com/seven-samurai
11-07-2026,Seven Samurai,03:02,03:56,https://www.criterionchannel.com/seven-samurai
11-07-2026,Royal Warriors,04:02,05:33,https://www.criterionchannel.com/royal-warriors
